		Li	Ow	Li	Hw	Li	C00	Li	C01	Li	O02	Li	C03	Li	O04	Li	O05	Li	C06	Li	H07	Li	CBT	Li	F1	Li	SBT	Li	NBT	Li	OBT
48	2.85	0.0380277	0.965869	0.356102	1.96003	0.0237012	0.0005007	0.0197645	0.00030785	0.228099	0.0509736	1.25939	0.0415298	0.0143882	0.487907	0.318606	0.0556302	0.0415732	0.00074725	0.184063	0.00666315	0.000419338	2.46E-05	0.189275	0.0830881	0.0775421	0.00466497	0.111946	0.0168814	0.221744	2.79844
49	2.91	0.0520047	0.966766	0.181682	1.9663	0.036186	0.000861025	0.0385987	0.0006922	0.214663	0.0531111	1.74333	0.0588892	0.0159376	0.488065	0.316894	0.0587856	0.0715333	0.00145955	0.216583	0.0088198	0.000821433	5.12E-05	0.214456	0.103922	0.112984	0.00832368	0.124189	0.0188922	0.202694	2.81156
50	2.97	0.0735232	0.968087	0.136768	1.97121	0.0522033	0.0014025	0.0714779	0.0014336	0.202559	0.0552121	2.68155	0.0867034	0.0191252	0.488264	0.317409	0.0620779	0.114255	0.00264465	0.250202	0.011415	0.00145191	0.000100175	0.241727	0.128383	0.168244	0.0139988	0.141572	0.0212799	0.193316	2.8246
51	3.03	0.104495	0.97004	0.127671	1.97598	0.0721998	0.00218195	0.115228	0.00267757	0.19736	0.0573428	4.54409	0.13576	0.0242573	0.488526	0.322678	0.0655615	0.165896	0.00443562	0.280826	0.0144467	0.00262689	0.0001924	0.272034	0.157035	0.286831	0.0240689	0.163579	0.0241514	0.191151	2.83803
52	3.09	0.145293	0.972865	0.132426	1.98113	0.0942395	0.00324002	0.169706	0.00458295	0.200946	0.0595989	7.46689	0.219595	0.0333734	0.4889	0.329928	0.0692658	0.223155	0.0069411	0.312041	0.0179502	0.00474841	0.000365775	0.305052	0.19045	0.572244	0.0449628	0.195555	0.0277215	0.19749	2.85245
53	3.15	0.196307	0.976832	0.145867	1.98703	0.11998	0.00463992	0.224662	0.00720425	0.213254	0.0620871	9.31204	0.328245	0.047657	0.489456	0.341649	0.0732521	0.282604	0.0102385	0.342431	0.0219456	0.00855803	0.0006905	0.342028	0.229383	1.19998	0.0904945	0.239886	0.0322725	0.211636	2.86851
54	3.21	0.25041	0.982086	0.167164	1.99404	0.148451	0.00643863	0.274911	0.0105352	0.234858	0.0649327	7.92765	0.424301	0.0674599	0.490274	0.358828	0.0775998	0.345534	0.0144251	0.367186	0.0263946	0.0153903	0.00129692	0.385601	0.274965	2.37308	0.184001	0.299687	0.0381768	0.235077	2.88703
55	3.27	0.310966	0.988857	0.195498	2.00256	0.178075	0.00867768	0.314718	0.0144924	0.272395	0.0683577	4.89599	0.485861	0.0922466	0.491434	0.382075	0.0824038	0.411856	0.0196036	0.39282	0.0313337	0.0277251	0.0024306	0.435341	0.328368	4.21222	0.356238	0.385845	0.0460654	0.267879	2.90894
56	3.33	0.376669	0.997362	0.22769	2.01284	0.210035	0.0114164	0.346563	0.0190113	0.319648	0.0725257	2.46995	0.518067	0.123318	0.493042	0.411043	0.0877635	0.4927	0.0260281	0.415876	0.0367565	0.0474364	0.0044421	0.492376	0.391004	6.7036	0.640498	0.508469	0.056846	0.313273	2.93551
57	3.39	0.453839	1.00798	0.261126	2.02506	0.244684	0.0147229	0.378101	0.0241207	0.375861	0.0776049	1.1436	0.533521	0.157851	0.495175	0.454022	0.0938989	0.594491	0.0340616	0.436569	0.042656	0.0789095	0.00790985	0.55782	0.464546	9.39252	1.05326	0.688545	0.0719754	0.369521	2.96799
